Model,Acc_clean,Acc_noisy,Acc_sensitivity,F1_clean,F1_noisy,F1_sensitivity,Precision_clean,Precision_noisy,Precision_sensitivity,Recall_clean,Recall_noisy,Recall_sensitivity,AUC_clean,AUC_noisy,AUC_sensitivity
Sigmoid,0.8933,0.89,0.0037,0.8933,0.89,0.0037,0.894,0.8904,0.0039,0.8933,0.89,0.0037,0.9642,0.9643,-0.0001
Probit,0.9,0.9,0.0,0.9,0.9,0.0,0.9006,0.9006,0.0,0.9,0.9,0.0,0.9638,0.9639,-0.0001
