model,split,seed,accuracy,precision_macro,recall_macro,f1_macro
LDA,80/20,2148995112,0.6815,0.4885,0.5815,0.5129
QDA,80/20,2148995112,0.2435,0.3615,0.5586,0.2578
Weighted Softmax,80/20,2148995112,0.5938,0.4613,0.694,0.4929
Softmax,80/20,1592565386,0.713,0.5655,0.4359,0.4375
LDA,80/20,1592565386,0.678,0.4846,0.5758,0.5078
QDA,80/20,1592565386,0.2409,0.3599,0.5551,0.2549
Weighted Softmax,80/20,1592565386,0.5901,0.4577,0.6952,0.4886
Softmax,80/20,784044718,0.714,0.5773,0.4383,0.4426
LDA,80/20,784044718,0.6794,0.4826,0.574,0.5068
QDA,80/20,784044718,0.2418,0.3641,0.5542,0.2574
Weighted Softmax,80/20,784044718,0.5924,0.4608,0.6953,0.4929
Softmax,80/20,3980425317,0.7127,0.5698,0.4333,0.4358
LDA,80/20,3980425317,0.678,0.4797,0.5656,0.5028
QDA,80/20,3980425317,0.2409,0.3615,0.5515,0.2567
Weighted Softmax,80/20,3980425317,0.5931,0.4607,0.6917,0.4936
Softmax,80/20,3356806661,0.7125,0.5815,0.4378,0.4407
LDA,80/20,3356806661,0.6806,0.4863,0.5721,0.5082
QDA,80/20,3356806661,0.2419,0.3597,0.5553,0.2541
Weighted Softmax,80/20,3356806661,0.5939,0.461,0.6935,0.4938
Softmax,80/20,2765379632,0.7139,0.5765,0.4373,0.4405
LDA,80/20,2765379632,0.6815,0.4879,0.5763,0.5099
QDA,80/20,2765379632,0.2422,0.3647,0.5568,0.2604
Weighted Softmax,80/20,2765379632,0.5936,0.4619,0.6981,0.4939
Softmax,80/20,1728356533,0.7124,0.5734,0.4385,0.4418
LDA,80/20,1728356533,0.6797,0.4852,0.574,0.5083
QDA,80/20,1728356533,0.2428,0.3611,0.5567,0.2558
Weighted Softmax,80/20,1728356533,0.5907,0.4608,0.6991,0.4932
Softmax,80/20,3533734220,0.7143,0.5758,0.4375,0.4407
LDA,80/20,3533734220,0.6805,0.4846,0.5779,0.509
QDA,80/20,3533734220,0.2427,0.3647,0.5545,0.2573
Weighted Softmax,80/20,3533734220,0.5951,0.4634,0.7008,0.4955
Softmax,80/20,2342600226,0.7127,0.5754,0.4399,0.4429
LDA,80/20,2342600226,0.6784,0.4851,0.5815,0.5106
QDA,80/20,2342600226,0.2417,0.3584,0.5553,0.2554
Weighted Softmax,80/20,2342600226,0.5931,0.4589,0.6954,0.4935
Softmax,80/20,1904449481,0.7129,0.5716,0.4347,0.4374
LDA,80/20,1904449481,0.6796,0.4866,0.5777,0.5105
QDA,80/20,1904449481,0.2427,0.3607,0.5534,0.256
Weighted Softmax,80/20,1904449481,0.596,0.4618,0.6969,0.4957
