model,imputer,missing_rate,is_clean,mse,rmse,mae,r2,mse_sens_abs,mse_sens_rel,rmse_sens_abs,rmse_sens_rel,mae_sens_abs,mae_sens_rel,r2_sens_abs,r2_sens_rel
MBGD,median,0.2,False,0.7698,0.8774,0.6497,0.4281,0.2447,0.4661,0.1528,0.2108,0.1199,0.2263,0.1818,0.2981
WLS,median,0.2,False,0.7666,0.8755,0.6469,0.4305,0.2346,0.441,0.1462,0.2004,0.1242,0.2377,0.1743,0.2882
Ridge,median,0.2,False,0.8741,0.9349,0.6564,0.3507,0.1431,0.1957,0.0799,0.0935,0.0603,0.1011,0.1063,0.2326
Lasso,median,0.2,False,0.8899,0.9434,0.6641,0.3389,0.1411,0.1883,0.078,0.0901,0.0583,0.0962,0.1048,0.2362
Elastic Net,median,0.2,False,0.9043,0.9509,0.6722,0.3282,0.137,0.1786,0.075,0.0856,0.0563,0.0915,0.1018,0.2367
Polynomial,median,0.2,False,0.7392,0.8598,0.6363,0.4508,0.2349,0.4659,0.1497,0.2107,0.1164,0.2238,0.1745,0.2791
RBF,median,0.2,False,0.8355,0.914,0.6903,0.3793,0.1782,0.2711,0.1033,0.1275,0.088,0.1462,0.1324,0.2587
Fourier,median,0.2,False,0.5754,0.7586,0.5598,0.5725,0.1876,0.4837,0.1358,0.2181,0.1129,0.2526,0.1394,0.1958
OLS,knn,0.2,False,0.7523,0.8673,0.6392,0.4411,0.2274,0.4331,0.1428,0.1971,0.1096,0.2068,0.1689,0.2769
MBGD,knn,0.2,False,0.7523,0.8674,0.6393,0.4411,0.2272,0.4327,0.1427,0.197,0.1094,0.2065,0.1688,0.2768
WLS,knn,0.2,False,0.7507,0.8664,0.638,0.4423,0.2187,0.4112,0.1371,0.1879,0.1153,0.2205,0.1625,0.2687
Ridge,knn,0.2,False,0.8694,0.9324,0.657,0.3541,0.1384,0.1894,0.0774,0.0906,0.0608,0.102,0.1028,0.225
Lasso,knn,0.2,False,0.8878,0.9422,0.6656,0.3404,0.1389,0.1855,0.0769,0.0888,0.0599,0.0988,0.1032,0.2326
Elastic Net,knn,0.2,False,0.9019,0.9497,0.6734,0.33,0.1347,0.1755,0.0738,0.0842,0.0575,0.0934,0.1,0.2326
Polynomial,knn,0.2,False,0.7276,0.853,0.629,0.4594,0.2234,0.4429,0.1429,0.2012,0.1091,0.2099,0.1659,0.2653
RBF,knn,0.2,False,0.8604,0.9276,0.7075,0.3609,0.2031,0.309,0.1168,0.1441,0.1052,0.1746,0.1509,0.2948
Fourier,knn,0.2,False,0.5913,0.7689,0.5676,0.5607,0.2035,0.5246,0.1462,0.2348,0.1207,0.27,0.1511,0.2123
OLS,mean,0.3,False,0.8539,0.9241,0.6933,0.3657,0.329,0.6267,0.1996,0.2754,0.1637,0.309,0.2444,0.4006
MBGD,mean,0.3,False,0.8539,0.9241,0.6934,0.3656,0.3288,0.6262,0.1994,0.2752,0.1635,0.3086,0.2443,0.4005
WLS,mean,0.3,False,0.8537,0.924,0.6924,0.3658,0.3217,0.6048,0.1946,0.2668,0.1697,0.3246,0.239,0.3952
Ridge,mean,0.3,False,0.9423,0.9707,0.6883,0.3,0.2113,0.2891,0.1158,0.1354,0.0922,0.1546,0.157,0.3436
Lasso,mean,0.3,False,0.9557,0.9776,0.6944,0.29,0.2068,0.2761,0.1122,0.1297,0.0886,0.1462,0.1536,0.3463
Elastic Net,mean,0.3,False,0.9677,0.9837,0.7007,0.2811,0.2004,0.2612,0.1078,0.123,0.0848,0.1377,0.1489,0.3462
Polynomial,mean,0.3,False,0.8433,0.9183,0.6895,0.3735,0.339,0.6723,0.2082,0.2932,0.1696,0.3263,0.2518,0.4027
RBF,mean,0.3,False,0.9203,0.9593,0.731,0.3163,0.2631,0.4002,0.1486,0.1833,0.1287,0.2137,0.1954,0.3819
Fourier,mean,0.3,False,0.6869,0.8288,0.6175,0.4897,0.2991,0.7711,0.206,0.3308,0.1706,0.3817,0.2222,0.3121
OLS,median,0.3,False,0.8608,0.9278,0.6966,0.3605,0.3359,0.6399,0.2033,0.2806,0.1669,0.3152,0.2495,0.4091
MBGD,median,0.3,False,0.8609,0.9278,0.6966,0.3605,0.3358,0.6394,0.2032,0.2804,0.1668,0.3148,0.2494,0.409
WLS,median,0.3,False,0.8604,0.9276,0.6955,0.3608,0.3284,0.6174,0.1982,0.2718,0.1728,0.3307,0.244,0.4034
Ridge,median,0.3,False,0.9482,0.9738,0.69,0.2956,0.2172,0.2971,0.1188,0.1389,0.0938,0.1573,0.1614,0.3531
Lasso,median,0.3,False,0.9618,0.9807,0.696,0.2855,0.2129,0.2843,0.1153,0.1333,0.0903,0.149,0.1582,0.3565
Elastic Net,median,0.3,False,0.9736,0.9867,0.7025,0.2767,0.2064,0.269,0.1108,0.1265,0.0866,0.1405,0.1533,0.3565
Polynomial,median,0.3,False,0.8474,0.9206,0.6907,0.3705,0.3431,0.6805,0.2104,0.2963,0.1708,0.3285,0.2549,0.4076
RBF,median,0.3,False,0.9437,0.9714,0.7402,0.299,0.2864,0.4357,0.1607,0.1982,0.1378,0.2289,0.2128,0.4158
Fourier,median,0.3,False,0.6773,0.823,0.6113,0.4968,0.2895,0.7465,0.2002,0.3215,0.1644,0.3679,0.2151,0.3021
OLS,knn,0.3,False,0.8573,0.9259,0.6907,0.3631,0.3324,0.6332,0.2014,0.278,0.161,0.304,0.2469,0.4047
MBGD,knn,0.3,False,0.8573,0.9259,0.6907,0.3631,0.3322,0.6327,0.2013,0.2778,0.1609,0.3037,0.2468,0.4046
WLS,knn,0.3,False,0.8581,0.9263,0.6906,0.3625,0.3261,0.6131,0.197,0.2701,0.1679,0.3213,0.2423,0.4006
Ridge,knn,0.3,False,0.9505,0.9749,0.692,0.2939,0.2195,0.3003,0.12,0.1403,0.0958,0.1608,0.1631,0.3569
Lasso,knn,0.3,False,0.9648,0.9823,0.6983,0.2832,0.216,0.2884,0.1169,0.1351,0.0925,0.1528,0.1604,0.3616
Elastic Net,knn,0.3,False,0.9769,0.9884,0.7046,0.2743,0.2096,0.2732,0.1124,0.1284,0.0887,0.1441,0.1557,0.3621
Polynomial,knn,0.3,False,0.8514,0.9227,0.6877,0.3675,0.3471,0.6883,0.2126,0.2994,0.1678,0.3227,0.2579,0.4123
RBF,knn,0.3,False,0.9374,0.9682,0.7371,0.3036,0.2801,0.4262,0.1575,0.1942,0.1348,0.2238,0.2081,0.4066
Fourier,knn,0.3,False,0.6944,0.8333,0.6182,0.4841,0.3066,0.7906,0.2106,0.3381,0.1713,0.3833,0.2278,0.32
